Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
AMGN,AMGEN INC. (XNAS:AMGN),0.810000%,6.670000%,-0.070000%,-11.610000%,19.360000%,-11.610000%,-3.060000%,54.890000%
AMP,"AMERIPRISE FINANCIAL, INC. (XNYS:AMP)",2.320000%,7.110000%,2.480000%,-10.360000%,24.580000%,-10.360000%,11.810000%,32.370000%
AMT,AMERICAN TOWER CORPORATION (XNYS:AMT),0.300000%,7.910000%,1.580000%,-17.800000%,24.500000%,-17.800000%,88.430000%,39.090000%
AMZN,"AMAZON.COM, INC. (XNAS:AMZN)",1.400000%,9.880000%,2.230000%,-29.830000%,28.510000%,-29.830000%,141.940000%,-15.630000%
ANET,"ARISTA NETWORKS, INC. (XNYS:ANET)",4.810000%,14.340000%,3.430000%,-23.900000%,51.380000%,-23.900000%,99.930000%,53.460000%
AON,AON PUBLIC LIMITED COMPANY (XNYS:AON),0.860000%,6.380000%,1.380000%,-12.940000%,13.720000%,-12.940000%,-55.060000%,-13.030000%
AOS,A. O. SMITH CORPORATION (XNYS:AOS),1.050000%,8.370000%,0.970000%,-16.860000%,26.120000%,-16.860000%,47.150000%,38.350000%
APA,APA CORPORATION (XNAS:APA),1.720000%,14.530000%,-0.880000%,-28.600000%,43.290000%,-28.600000%,50.330000%,65.820000%
APD,"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",0.410000%,8.310000%,-0.270000%,-17.720000%,25.150000%,-17.720000%,68.180000%,53.920000%
APH,AMPHENOL CORPORATION (XNYS:APH),3.610000%,8.170000%,2.720000%,-12.450000%,31.490000%,-12.450000%,156.890000%,76.410000%
