Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
AFL,AFLAC INCORPORATED (XNYS:AFL),1.598600%,6.168500%,2.230000%,-12.218000%,15.854000%,-12.218000%,-1.128000%,-11.027100%
AIG,"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",2.227700%,8.151200%,1.252000%,-20.342000%,23.424000%,-20.342000%,66.368300%,15.070400%
AIZ,"ASSURANT, INC. (XNYS:AIZ)",1.182500%,6.841600%,0.280000%,-9.836000%,19.225000%,-9.836000%,9.370100%,64.588800%
AJG,ARTHUR J. GALLAGHER & CO. (XNYS:AJG),1.749800%,7.016000%,2.361000%,-19.452000%,16.174000%,-19.452000%,11.023900%,-34.193200%
AKAM,"AKAMAI TECHNOLOGIES, INC. (XNAS:AKAM)",-1.191200%,8.173300%,-0.871000%,-19.419000%,19.201000%,-19.419000%,-14.422600%,-18.280500%
ALB,ALBEMARLE CORPORATION (XNYS:ALB),0.773500%,14.746100%,-0.672000%,-25.441000%,35.052000%,-25.441000%,-53.936100%,29.810700%
ALGN,"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",-0.458400%,14.787500%,1.897000%,-39.542000%,28.157000%,-39.542000%,18.826600%,-38.619300%
ALL,THE ALLSTATE CORPORATION (XNYS:ALL),1.362800%,6.568200%,1.270000%,-13.746000%,15.008000%,-13.746000%,-39.654900%,-4.151900%
ALLE,ALLEGION PUBLIC LIMITED COMPANY (XNYS:ALLE),0.669300%,7.687200%,0.157000%,-12.315000%,19.417000%,-12.315000%,-19.999400%,61.158600%
AMAT,"APPLIED MATERIALS, INC. (XNAS:AMAT)",3.163200%,12.280800%,3.852000%,-22.432000%,38.188000%,-22.432000%,10.493100%,35.278900%
AMCR,AMCOR PLC (XNYS:AMCR),-0.551700%,5.871400%,-0.962000%,0.000000%,13.758000%,-12.124000%,-42.216800%,26.205100%
AMD,"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",2.841800%,16.448800%,-1.549000%,-25.345000%,58.304000%,-25.345000%,84.735000%,80.667600%
AME,"AMETEK, INC. (XNYS:AME)",1.252900%,6.023100%,0.386000%,-9.533000%,14.329000%,-9.533000%,-64.290500%,34.785600%
AMGN,AMGEN INC. (XNAS:AMGN),0.416100%,6.949800%,-0.831000%,-12.865000%,19.942000%,-12.865000%,-8.932800%,51.201000%
AMP,"AMERIPRISE FINANCIAL, INC. (XNYS:AMP)",2.062000%,7.659500%,0.878000%,-13.968000%,22.691000%,-13.968000%,-8.294700%,26.544600%
AMT,AMERICAN TOWER CORPORATION (XNYS:AMT),-0.354900%,7.668400%,0.024000%,-15.489000%,17.653000%,-15.489000%,-28.979300%,22.529500%
AMZN,"AMAZON.COM, INC. (XNAS:AMZN)",0.880800%,9.347700%,0.823000%,-23.753000%,27.060000%,-23.753000%,71.747200%,14.314000%
ANET,"ARISTA NETWORKS, INC. (XNYS:ANET)",3.821300%,11.978800%,5.015000%,-32.761000%,33.201000%,-32.761000%,74.926700%,-33.901700%
AON,AON PUBLIC LIMITED COMPANY (XNYS:AON),1.554400%,7.248600%,1.620000%,-0.294000%,17.794000%,-15.495000%,-54.683200%,-8.753500%
AOS,A. O. SMITH CORPORATION (XNYS:AOS),0.766300%,9.016700%,0.207000%,-16.398000%,24.512000%,-16.398000%,-0.360500%,26.909600%
APA,APA CORPORATION (XNAS:APA),1.912100%,12.818900%,0.634000%,-26.070000%,38.165000%,-26.070000%,68.336100%,46.543800%
APD,"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",-0.611500%,7.792100%,-0.613000%,-16.241000%,23.866000%,-16.241000%,71.996600%,60.844800%
APH,AMPHENOL CORPORATION (XNYS:APH),2.573900%,7.250600%,2.077000%,-9.145000%,19.804000%,-9.145000%,-60.691000%,36.094000%
APO,"APOLLO GLOBAL MANAGEMENT, INC. (XNYS:APO)",2.373000%,10.770300%,2.432000%,-19.909000%,25.343000%,-19.909000%,-36.177200%,4.210400%
APP,APPLOVIN CORPORATION (XNAS:APP),6.892600%,24.727100%,2.135000%,0.000000%,98.802000%,-31.657000%,232.253800%,118.752900%
APTV,APTIV PLC (XNYS:APTV),-0.089200%,10.292800%,-0.796000%,-21.080000%,21.432000%,-21.080000%,-61.564800%,17.681000%
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC. (XNYS:ARE)",-1.746000%,9.131400%,-1.568000%,-30.142000%,17.470000%,-30.142000%,82.495500%,-38.843000%
ARES,ARES MANAGEMENT CORPORATION (XNYS:ARES),2.797500%,10.380300%,3.475000%,-26.037000%,26.011000%,-26.037000%,65.330900%,-30.600200%
ATO,ATMOS ENERGY CORPORATION (XNYS:ATO),1.058700%,5.702600%,1.174000%,-10.169000%,15.999000%,-10.169000%,-12.751700%,23.748500%
AVB,"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",0.395600%,5.654000%,-0.328000%,-9.965000%,12.733000%,-9.965000%,-78.197100%,20.746100%
AVGO,BROADCOM INC. (XNAS:AVGO),4.104000%,11.162700%,2.921000%,-24.332000%,43.040000%,-24.332000%,209.067400%,57.051200%
AVY,AVERY DENNISON CORPORATION (XNYS:AVY),0.611000%,7.618900%,-0.748000%,-15.310000%,21.727000%,-15.310000%,43.041300%,60.299800%
AWK,"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",-0.493800%,6.519300%,-0.622000%,-14.858000%,18.357000%,-14.858000%,45.605800%,41.860200%
AXON,"AXON ENTERPRISE, INC. (XNAS:AXON)",3.618100%,14.413300%,1.961000%,-26.234000%,52.765000%,-26.234000%,118.435900%,76.579000%
AXP,AMERICAN EXPRESS COMPANY (XNYS:AXP),2.649300%,8.111200%,2.663000%,-17.889000%,21.658000%,-17.889000%,1.013400%,-10.820700%
AZO,"AUTOZONE, INC. (XNYS:AZO)",2.117900%,7.165900%,1.806000%,-14.354000%,25.567000%,-14.354000%,146.210300%,47.745400%
BA,THE BOEING COMPANY (XNYS:BA),0.691400%,10.829700%,-0.271000%,-24.443000%,31.171000%,-24.443000%,68.977800%,36.300900%
BAC,BANK OF AMERICA CORPORATION (XNYS:BAC),1.574200%,8.946900%,1.500000%,-19.391000%,30.489000%,-19.391000%,105.813700%,32.163700%
BALL,BALL CORPORATION (XNYS:BALL),-0.608400%,8.743400%,-0.250000%,-23.985000%,21.479000%,-23.985000%,36.024400%,27.342300%
BAX,BAXTER INTERNATIONAL INC. (XNYS:BAX),-1.860900%,9.083600%,-1.828000%,-28.137000%,17.554000%,-28.137000%,10.245600%,-18.313800%
BBY,"Best Buy Co., Inc. (XNYS:BBY)",-0.178500%,9.396700%,-1.067000%,-20.558000%,24.689000%,-20.558000%,-22.026500%,38.840300%
BDX,"BECTON, DICKINSON AND COMPANY (XNYS:BDX)",-0.500300%,5.514600%,-0.540000%,3.483000%,9.203000%,-16.659000%,4.283600%,-40.216700%
BEN,"FRANKLIN RESOURCES, INC. (XNYS:BEN)",0.106900%,9.706400%,-0.088000%,-18.748000%,20.121000%,-18.748000%,-88.824900%,9.645100%
BF.B,BROWN-FORMAN CORPORATION (XNYS:BF.B),-1.564200%,6.357000%,-1.957000%,-19.286000%,10.599000%,-19.286000%,-24.501000%,-25.012400%
BG,Bunge Global Ltd (XNYS:BG),1.311500%,8.642400%,0.381000%,-23.352000%,21.134000%,-23.352000%,67.626500%,-6.194600%
BIIB,BIOGEN INC. (XNAS:BIIB),-0.696800%,9.311500%,-3.350000%,-16.500000%,36.657000%,-16.500000%,464.614200%,174.607300%
BK,THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK),1.999600%,7.357500%,3.514000%,-16.250000%,18.730000%,-16.250000%,-11.318900%,-32.691400%
BKNG,BOOKING HOLDINGS INC. (XNAS:BKNG),2.063600%,8.797100%,1.976000%,-22.044000%,20.782000%,-22.044000%,-4.164500%,-10.247600%
BKR,BAKER HUGHES COMPANY (XNAS:BKR),2.395300%,11.216600%,1.757000%,-19.761000%,32.690000%,-19.761000%,45.785800%,41.157100%
BLDR,"BUILDERS FIRSTSOURCE, INC. (XNYS:BLDR)",2.853600%,13.517400%,4.313000%,-25.311000%,26.629000%,-25.311000%,-88.563900%,-10.517700%
BLK,"BLACKROCK, INC. (XNYS:BLK)",0.632500%,8.179200%,1.910000%,-18.254000%,22.694000%,-18.254000%,3.849800%,-6.677900%
BMY,BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),0.072900%,6.978200%,0.239000%,-18.975000%,16.260000%,-18.975000%,57.202300%,-24.232000%
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC. (XNYS:BR)",0.593200%,6.334000%,0.177000%,-15.686000%,13.584000%,-15.686000%,7.479600%,3.632400%
BRK.B,BERKSHIRE HATHAWAY INC. (XNYS:BRK.B),1.795800%,5.964800%,0.848000%,-13.596000%,13.636000%,-13.596000%,-65.848800%,-2.878600%
BRO,"BROWN & BROWN, INC. (XNYS:BRO)",1.565900%,7.795800%,1.181000%,-17.588000%,18.861000%,-17.588000%,-15.164800%,-11.495700%
BSX,BOSTON SCIENTIFIC CORPORATION (XNYS:BSX),2.078300%,5.563500%,1.906000%,-11.732000%,14.599000%,-11.732000%,-18.207800%,9.019900%
BX,BLACKSTONE INC. (XNYS:BX),1.909300%,11.082600%,2.708000%,-22.549000%,29.344000%,-22.549000%,-10.248700%,-9.172300%
BXP,"BXP, INC. (XNYS:BXP)",-0.187700%,8.965200%,-1.641000%,-27.395000%,23.257000%,-27.395000%,104.833400%,1.868200%
C,CITIGROUP INC. (XNYS:C),1.502100%,9.140900%,0.384000%,-17.998000%,25.453000%,-17.998000%,-37.637100%,12.168700%
CAG,"CONAGRA BRANDS, INC. (XNYS:CAG)",-1.231600%,5.199100%,-1.352000%,-11.009000%,12.473000%,-11.009000%,3.492500%,30.483800%
CAH,"CARDINAL HEALTH, INC. (XNYS:CAH)",2.588200%,7.544700%,0.494000%,2.555000%,21.541000%,-11.603000%,-44.842300%,54.936600%
CARR,CARRIER GLOBAL CORPORATION (XNYS:CARR),0.724800%,8.310700%,0.222000%,-16.569000%,21.540000%,-16.569000%,-28.683800%,29.034800%
CAT,CATERPILLAR INC. (XNYS:CAT),2.660000%,10.546800%,1.569000%,-17.198000%,31.923000%,-17.198000%,3.761000%,51.009800%
CB,Chubb Ltd (XNYS:CB),1.607600%,6.243100%,2.344000%,-14.642000%,18.149000%,-14.642000%,-4.511400%,-3.033900%
CBOE,"Cboe Global Markets, Inc. (BATS:CBOE)",2.029500%,4.675800%,1.785000%,-9.474000%,11.929000%,-9.474000%,-17.616400%,-5.854900%
CBRE,"CBRE GROUP, INC. (XNYS:CBRE)",2.395700%,9.815500%,2.089000%,-14.852000%,29.731000%,-14.852000%,26.814000%,54.860800%
CCI,CROWN CASTLE INC. (XNYS:CCI),-0.930900%,7.946200%,-1.030000%,-15.384000%,26.135000%,-15.384000%,127.363000%,75.450500%
CCL,Carnival Corp (XNYS:CCL),2.592200%,19.193100%,0.053000%,-37.680000%,67.676000%,-37.680000%,125.709600%,79.660700%
CDNS,"CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS)",1.692300%,8.729900%,0.781000%,0.237000%,24.029000%,-18.358000%,-2.692200%,9.133700%
CDW,CDW CORPORATION (XNAS:CDW),0.537000%,8.766300%,-0.099000%,-19.524000%,25.892000%,-19.524000%,27.124300%,36.040700%
CEG,CONSTELLATION ENERGY CORPORATION. (XNAS:CEG),4.119500%,13.692800%,0.473000%,0.000000%,51.516000%,-32.786000%,291.812600%,108.344300%
CF,"CF INDUSTRIES HOLDINGS, INC. (XNYS:CF)",2.104500%,11.085700%,1.422000%,-21.250000%,49.644000%,-21.250000%,448.045400%,120.234800%
CFG,"CITIZENS FINANCIAL GROUP, INC. (XNYS:CFG)",1.567000%,10.588700%,1.877000%,-29.894000%,23.696000%,-29.894000%,30.753000%,-15.812300%
CHD,"CHURCH & DWIGHT CO., INC. (XNYS:CHD)",0.034500%,5.320200%,-0.651000%,0.310000%,14.679000%,-14.658000%,64.385200%,28.202100%
CHRW,"C.H. ROBINSON WORLDWIDE, INC. (XNAS:CHRW)",1.032200%,7.793600%,1.055000%,-15.629000%,21.648000%,-15.629000%,37.083800%,47.044700%
CHTR,"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",-1.493600%,11.582700%,0.604000%,-34.111000%,27.014000%,-34.111000%,60.329100%,-18.014800%
CI,THE CIGNA GROUP (XNYS:CI),1.035600%,8.966000%,2.938000%,3.176000%,20.681000%,-19.307000%,8.292800%,-20.022400%
CINF,CINCINNATI FINANCIAL CORPORATION (XNAS:CINF),1.900500%,7.659200%,1.080000%,-18.188000%,22.595000%,-18.188000%,17.876600%,16.033300%
CL,COLGATE-PALMOLIVE COMPANY (XNYS:CL),-0.131900%,4.825100%,0.262000%,-10.178000%,13.756000%,-10.178000%,6.289200%,10.975800%
CLX,THE CLOROX COMPANY (XNYS:CLX),-1.136400%,7.463200%,-1.452000%,-17.175000%,21.793000%,-17.175000%,137.550900%,52.982100%
CMCSA,COMCAST CORPORATION (XNAS:CMCSA),-0.702600%,9.494900%,-1.270000%,-20.443000%,20.113000%,-20.443000%,-63.601500%,24.815200%
CME,CME GROUP INC. (XNAS:CME),1.327900%,5.284400%,0.965000%,1.847000%,14.050000%,-9.447000%,-20.229700%,34.067800%
CMG,"CHIPOTLE MEXICAN GRILL, INC. (XNYS:CMG)",0.881300%,9.720900%,0.429000%,-23.633000%,21.034000%,-23.633000%,8.439500%,3.758400%
CMI,CUMMINS INC. (XNYS:CMI),1.919400%,8.133200%,2.079000%,-13.032000%,23.130000%,-13.032000%,1.450600%,40.868200%
CMS,CMS ENERGY CORPORATION (XNYS:CMS),0.318000%,5.290900%,0.144000%,-13.770000%,13.803000%,-13.770000%,12.989400%,11.508400%
CNC,CENTENE CORPORATION (XNYS:CNC),-0.005300%,10.820900%,0.239000%,-51.971000%,22.865000%,-51.971000%,789.140800%,-162.458400%
CNP,"CENTERPOINT ENERGY, INC. (XNYS:CNP)",0.799900%,5.160600%,0.433000%,-10.625000%,11.237000%,-10.625000%,-45.948500%,-14.859300%
COF,CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF),2.137800%,9.503600%,2.600000%,-19.193000%,28.012000%,-19.193000%,24.760900%,17.312300%
COIN,Coinbase Global Inc (XNAS:COIN),3.738400%,28.812500%,0.000000%,0.000000%,106.802000%,-40.881000%,192.452900%,114.358200%
COO,"THE COOPER COMPANIES, INC. (XNAS:COO)",0.064500%,7.554900%,0.952000%,-16.395000%,15.714000%,-16.395000%,-58.096500%,-28.243600%
COP,CONOCOPHILLIPS (XNYS:COP),2.298300%,10.424400%,0.433000%,-20.069000%,32.326000%,-20.069000%,111.032700%,67.973600%
COR,"Cencora, Inc. (XNYS:COR)",2.176600%,6.500300%,1.961000%,-10.682000%,16.175000%,-10.682000%,-50.863700%,24.949800%
COST,COSTCO WHOLESALE CORPORATION (XNAS:COST),1.684900%,6.612800%,1.661000%,-15.345000%,14.000000%,-15.345000%,-33.111300%,-31.047000%
CPAY,"CORPAY, INC. (XNYS:CPAY)",0.654000%,8.225300%,0.844000%,-17.108000%,17.509000%,-17.108000%,-43.665300%,-15.557500%
CPB,THE CAMPBELL'S COMPANY (XNAS:CPB),-0.908900%,5.006400%,-0.403000%,1.927000%,12.288000%,-9.959000%,-41.801500%,4.490100%
CPRT,"COPART, INC. (XNAS:CPRT)",0.754700%,8.741000%,-1.057000%,-15.648000%,23.159000%,-15.648000%,-9.366400%,54.408600%
CPT,CAMDEN PROPERTY TRUST (XNYS:CPT),0.486700%,6.703100%,1.301000%,-14.910000%,13.047000%,-14.910000%,-79.717100%,-16.861700%
CRH,CRH PUBLIC LIMITED COMPANY (XNYS:CRH),2.579300%,8.699000%,3.336000%,-18.469000%,20.206000%,-18.469000%,-11.291700%,-24.841000%
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC. (XNYS:CRL)",0.435000%,11.684200%,-0.394000%,-21.193000%,25.277000%,-21.193000%,-101.728900%,3.959900%
CRM,"SALESFORCE, INC. (XNYS:CRM)",0.381100%,10.083300%,-0.706000%,-21.463000%,26.684000%,-21.463000%,9.016200%,29.033600%
CRWD,"CROWDSTRIKE HOLDINGS, INC. (XNAS:CRWD)",2.792700%,14.383200%,2.668000%,-39.466000%,34.067000%,-39.466000%,44.211700%,-22.800500%
CSCO,"CISCO SYSTEMS, INC. (XNAS:CSCO)",1.092600%,6.280200%,0.580000%,-12.159000%,15.994000%,-12.159000%,6.142000%,7.478700%
CSGP,"COSTAR GROUP, INC. (XNAS:CSGP)",-0.678200%,8.285700%,-2.267000%,-18.443000%,20.162000%,-18.443000%,35.412100%,63.992300%
CSX,CSX Corporation (XNAS:CSX),0.669900%,7.345500%,0.098000%,-15.829000%,21.621000%,-15.829000%,-0.724900%,24.117800%
CTAS,CINTAS CORPORATION (XNAS:CTAS),1.491300%,6.429600%,1.501000%,-19.084000%,13.911000%,-19.084000%,82.330900%,-45.016900%
CTRA,Coterra Energy Inc. (XNYS:CTRA),1.368600%,10.069100%,-0.240000%,-24.876000%,36.941000%,-24.876000%,216.547100%,73.482300%
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),0.074100%,6.627200%,0.218000%,-10.995000%,16.716000%,-10.995000%,-64.603800%,29.159900%
CTVA,"CORTEVA, INC. (XNYS:CTVA)",1.748300%,8.386100%,2.139000%,-13.542000%,26.803000%,-13.542000%,39.246700%,56.090000%
CVNA,CARVANA CO. (XNYS:CVNA),7.213000%,36.691000%,1.905000%,-51.413000%,114.557000%,-51.413000%,143.841900%,115.972500%
CVS,CVS HEALTH CORPORATION (XNYS:CVS),0.699600%,9.034500%,-0.246000%,-24.996000%,25.819000%,-24.996000%,103.292300%,19.465800%
CVX,CHEVRON CORPORATION (XNYS:CVX),1.898500%,8.757800%,1.052000%,-18.668000%,25.914000%,-18.668000%,108.744000%,41.867100%
D,"Dominion Energy, Inc. (XNYS:D)",-0.454300%,6.221200%,1.767000%,-15.513000%,12.450000%,-15.513000%,-32.082500%,-51.719100%
DAL,"DELTA AIR LINES, INC. (XNYS:DAL)",2.052400%,12.566800%,1.353000%,-35.187000%,30.856000%,-35.187000%,89.268300%,-15.128700%
DASH,"DOORDASH, INC. (XNAS:DASH)",1.779400%,14.799000%,1.783000%,-32.152000%,35.391000%,-32.152000%,-7.759100%,2.288600%
DAY,"DAYFORCE, INC. (XNYS:DAY)",-0.499700%,10.155600%,0.087000%,-27.417000%,20.981000%,-27.417000%,3.878700%,-4.809000%
DD,"DuPont de Nemours, Inc. (XNYS:DD)",1.010900%,8.603100%,0.721000%,-19.667000%,24.061000%,-19.667000%,63.848800%,25.822700%
DDOG,"DATADOG, INC. (XNAS:DDOG)",1.219800%,13.623400%,1.782000%,-30.481000%,43.083000%,-30.481000%,148.433400%,56.590300%
DE,DEERE & COMPANY (XNYS:DE),1.361400%,8.537100%,-0.302000%,-16.298000%,29.550000%,-16.298000%,118.603600%,89.491300%
DECK,DECKERS OUTDOOR CORPORATION (XNYS:DECK),1.963900%,12.289300%,1.850000%,-36.959000%,33.654000%,-36.959000%,103.654000%,-25.976500%
DELL,DELL TECHNOLOGIES INC. (XNYS:DELL),2.744700%,10.756300%,1.044000%,-17.690000%,37.681000%,-17.690000%,75.613200%,52.551700%
DG,DOLLAR GENERAL CORPORATION (XNYS:DG),-0.203000%,9.932000%,-0.542000%,-31.082000%,23.741000%,-31.082000%,118.516600%,-23.665800%
DGX,QUEST DIAGNOSTICS INCORPORATED (XNYS:DGX),0.543100%,6.649700%,0.474000%,-21.958000%,17.084000%,-21.958000%,138.759500%,-27.630800%
DHI,"D.R. HORTON, INC. (XNYS:DHI)",1.498500%,10.647100%,0.199000%,-17.732000%,27.673000%,-17.732000%,-62.706000%,23.022300%
DHR,DANAHER CORPORATION (XNYS:DHR),0.187500%,6.786500%,-0.192000%,-14.387000%,16.295000%,-14.387000%,-20.830900%,12.647500%
DIS,THE WALT DISNEY COMPANY (XNYS:DIS),0.095000%,10.108900%,-1.066000%,-18.613000%,27.392000%,-18.613000%,57.554500%,79.210900%
DLR,"DIGITAL REALTY TRUST, INC. (XNYS:DLR)",0.045200%,7.702500%,1.210000%,-19.777000%,14.311000%,-19.777000%,-39.460700%,-33.917300%
DLTR,"DOLLAR TREE, INC. (XNAS:DLTR)",0.996400%,10.159000%,1.436000%,-20.715000%,24.193000%,-20.715000%,-38.698600%,-11.999700%
DOC,"HEALTHPEAK PROPERTIES, INC. (XNYS:DOC)",-1.333400%,7.695500%,-1.889000%,-20.051000%,14.319000%,-20.051000%,-50.975300%,-5.123100%
DOV,DOVER CORPORATION (XNYS:DOV),1.121300%,7.615200%,0.878000%,-15.041000%,18.300000%,-15.041000%,-57.019000%,10.434100%
DOW,Dow Inc. (XNYS:DOW),-0.817400%,8.090600%,-1.770000%,-24.081000%,23.198000%,-24.081000%,104.164600%,20.513200%
DPZ,"DOMINO'S PIZZA, INC. (XNAS:DPZ)",0.274600%,9.288500%,-0.670000%,-19.435000%,17.730000%,-19.435000%,-44.530600%,-3.817500%
DRI,"DARDEN RESTAURANTS, INC. (XNYS:DRI)",1.374100%,6.255400%,1.755000%,-9.504000%,21.482000%,-9.504000%,98.072800%,64.259500%
DTE,DTE ENERGY COMPANY (XNYS:DTE),0.632800%,5.399600%,0.031000%,-11.731000%,15.340000%,-11.731000%,23.941000%,41.475100%
DUK,DUKE ENERGY CORPORATION (XNYS:DUK),0.154500%,4.711800%,0.444000%,-12.992000%,9.019000%,-12.992000%,13.736000%,-47.003300%
DVA,DAVITA INC. (XNYS:DVA),0.275200%,10.401100%,0.290000%,-18.301000%,31.374000%,-18.301000%,84.667600%,69.571400%
DVN,DEVON ENERGY CORPORATION (XNYS:DVN),2.788800%,12.695700%,2.813000%,-26.422000%,32.746000%,-26.422000%,0.942000%,23.023100%
DXCM,"DEXCOM, INC. (XNAS:DXCM)",0.429800%,13.514900%,0.060000%,-40.183000%,49.963000%,-40.183000%,319.587700%,37.572100%
EA,ELECTRONIC ARTS INC. (XNAS:EA),0.563300%,7.373100%,0.566000%,-15.988000%,17.582000%,-15.988000%,21.584600%,15.739200%
EBAY,EBAY INC. (XNAS:EBAY),1.302000%,9.770900%,0.375000%,-16.587000%,28.512000%,-16.587000%,-12.335200%,45.399100%
ECL,ECOLAB INC. (XNYS:ECL),0.826900%,6.547300%,0.366000%,-2.850000%,16.487000%,-19.242000%,70.128300%,-4.964800%
ED,"CONSOLIDATED EDISON, INC. (XNYS:ED)",0.474500%,5.479300%,0.159000%,-12.257000%,17.975000%,-12.257000%,98.378400%,36.122300%
EFX,EQUIFAX INC. (XNYS:EFX),0.263700%,10.140300%,0.440000%,-18.112000%,28.389000%,-18.112000%,22.509400%,44.931500%
EG,"Everest Group, Ltd. (XNYS:EG)",1.265800%,6.860400%,1.643000%,-13.877000%,22.946000%,-13.877000%,98.686100%,40.877300%
EIX,EDISON INTERNATIONAL (XNYS:EIX),0.112500%,7.684800%,1.000000%,-32.365000%,13.449000%,-32.365000%,402.846500%,-128.298200%
EL,THE ESTEE LAUDER COMPANIES INC. (XNYS:EL),-0.789400%,11.873000%,-1.725000%,-30.846000%,22.903000%,-30.846000%,-42.682900%,-7.356400%
ELV,"ELEVANCE HEALTH, INC. (XNYS:ELV)",0.537500%,8.099800%,0.628000%,-27.221000%,20.867000%,-27.221000%,271.190800%,-32.268100%
EME,"EMCOR GROUP, INC. (XNYS:EME)",4.533400%,11.375400%,2.841000%,-17.504000%,53.522000%,-17.504000%,548.718600%,174.846500%
EMR,EMERSON ELECTRIC CO. (XNYS:EMR),1.466800%,8.847500%,0.299000%,-15.629000%,23.645000%,-15.629000%,-24.908900%,48.739300%
EOG,"EOG RESOURCES, INC. (XNYS:EOG)",1.988600%,10.829700%,1.060000%,-19.363000%,42.327000%,-19.363000%,256.428100%,112.468600%
EPAM,"EPAM SYSTEMS, INC. (XNYS:EPAM)",-0.961000%,15.906600%,-0.701000%,-56.368000%,29.298000%,-56.368000%,154.449300%,-82.615800%
EQIX,"EQUINIX, INC. (XNAS:EQIX)",0.098200%,6.980300%,0.422000%,-14.298000%,21.928000%,-14.298000%,68.824900%,9.483900%
EQR,EQUITY RESIDENTIAL (XNYS:EQR),0.284500%,5.651900%,-0.071000%,-9.440000%,16.207000%,-9.440000%,-36.671000%,26.745000%
EQT,EQT CORPORATION (XNYS:EQT),3.441900%,13.121000%,2.494000%,-27.913000%,61.929000%,-27.913000%,591.571400%,136.648100%
ERIE,ERIE INDEMNITY COMPANY (XNAS:ERIE),0.809600%,8.814100%,-1.486000%,-16.854000%,25.577000%,-16.854000%,38.448100%,73.094300%
ES,Eversource Energy (XNYS:ES),-0.367700%,6.717000%,-0.831000%,-13.078000%,14.460000%,-13.078000%,-65.686600%,4.486700%
ESS,"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)",0.475200%,6.341300%,0.588000%,-13.794000%,16.153000%,-13.794000%,-37.243300%,6.493200%
ETN,EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN),2.329900%,8.669400%,2.017000%,-16.729000%,27.064000%,-16.729000%,-2.168200%,24.389900%
ETR,ENTERGY CORPORATION (XNYS:ETR),0.997700%,5.874200%,0.898000%,-12.723000%,17.605000%,-12.723000%,9.890400%,12.203300%
EVRG,"Evergy, Inc. (XNAS:EVRG)",0.470000%,5.160300%,0.650000%,-13.323000%,10.795000%,-13.323000%,-33.732300%,-23.528000%
EW,EDWARDS LIFESCIENCES CORPORATION (XNYS:EW),0.528500%,8.984000%,1.546000%,-31.742000%,21.779000%,-31.742000%,192.785700%,-56.850200%
EXC,EXELON CORPORATION (XNAS:EXC),0.833600%,5.713700%,0.662000%,2.749000%,15.264000%,-14.689000%,50.383200%,12.978400%
EXE,EXPAND ENERGY CORPORATION (XNAS:EXE),2.036600%,9.011700%,0.789000%,0.000000%,27.622000%,-16.718000%,-9.010100%,43.094800%
EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNYS:EXPD)",0.874500%,7.828200%,1.436000%,-14.752000%,20.509000%,-14.752000%,24.383000%,36.890600%
EXPE,"EXPEDIA GROUP, INC. (XNAS:EXPE)",2.693400%,13.399900%,1.157000%,-26.676000%,42.911000%,-26.676000%,126.830800%,62.396000%
EXR,EXTRA SPACE STORAGE INC. (XNYS:EXR),0.667000%,8.835800%,0.676000%,-14.797000%,25.659000%,-14.797000%,26.057700%,59.811400%
F,FORD MOTOR COMPANY (XNYS:F),1.229100%,12.142100%,1.614000%,-26.509000%,31.986000%,-26.509000%,6.013400%,21.934300%
FANG,"DIAMONDBACK ENERGY, INC. (XNAS:FANG)",3.062400%,11.073600%,1.049000%,-20.307000%,30.425000%,-20.307000%,43.283200%,57.381400%
FAST,Fastenal Company (XNAS:FAST),1.154600%,6.734300%,1.998000%,-16.089000%,13.059000%,-16.089000%,-22.584300%,-53.801500%
FCX,FREEPORT-MCMORAN INC. (XNYS:FCX),2.565100%,12.596800%,2.668000%,-25.128000%,33.638000%,-25.128000%,-53.648500%,32.772500%
FDS,FACTSET RESEARCH SYSTEMS INC. (XNYS:FDS),-0.202300%,6.548100%,0.195000%,-23.259000%,12.440000%,-23.259000%,144.546200%,-70.865400%
FDX,FEDEX CORPORATION (XNYS:FDX),0.765800%,9.602400%,0.804000%,-29.572000%,20.693000%,-29.572000%,64.202800%,-21.538600%
FE,FIRSTENERGY CORP. (XNYS:FE),0.772900%,5.223500%,0.055000%,0.022000%,12.776000%,-10.638000%,-42.732500%,13.239400%
