APD,-0.00534098360655738,11,0.077828191608288,43,-0.00613,17,0.06093,88,0.23866,61,-0.16241,63,0.707166548487939,80,0.583823104405723,88
APH,0.0238240983606557,86,0.0735258706482974,33,0.01987,82,-0.05555,23,0.19804,40,-0.09145,100,-0.663310006799711,8,0.392500041071196,71
APO,0.0240845901639344,88,0.107998306183844,80,0.02432,88,0.04593,82,0.25343,69,-0.19909,41,-0.384062430189664,22,0.038914667195947,42
APP,0.0684503571428571,100,0.260798720980998,100,0.02826,93,-0.18369,6,0.98802,100,-0.31657,8,1.74439021282379,94,1.08470233380698,98
APTV,-0.0020372131147541,22,0.104410167562538,76,-0.00796,13,-0.08594,16,0.21432,47,-0.2108,36,-0.720012786772098,5,0.197418864075321,54
ARE,-0.017612131147541,2,0.0935844527350342,67,-0.01568,6,-0.1259,8,0.1747,27,-0.30142,9,0.537162039950711,74,-0.372840434730967,8
ATO,0.0116065573770492,54,0.0564733152879967,8,0.01584,72,0.02003,64,0.15999,22,-0.10169,93,-0.0492997605918686,43,0.209033606481268,56
AVB,0.00401852459016393,29,0.0568612666008554,10,-0.00213,23,0.03887,80,0.12733,9,-0.09965,94,-0.831558809753443,2,0.195220077122584,53
AVGO,0.0408716393442623,99,0.111146358767473,82,0.02921,94,-0.07962,17,0.4304,94,-0.24332,22,2.10364777822839,96,0.615857040102274,94
AVY,0.00536524590163934,37,0.0761876845823645,37,-0.00832,12,-0.02533,38,0.21727,53,-0.1531,68,0.454590533917579,68,0.62807805243321,95
AWK,-0.00370262295081967,14,0.0654695275402137,20,-0.00574,18,0.03356,73,0.18357,31,-0.14858,70,0.368077689435504,65,0.361824525524466,69
AXON,0.0291419672131148,97,0.150934344642736,96,0.0081,51,-0.28712,1,0.52765,96,-0.28712,10,1.05370006240643,89,0.605064616835266,90
AXP,0.025247868852459,90,0.0815450742251334,48,0.02551,91,-0.02173,39,0.21658,52,-0.17889,54,-0.0579343669836136,41,-0.0661139847424865,30
AZO,0.0255413114754098,91,0.0680010062051881,23,0.01955,77,0.06081,87,0.25567,70,-0.14354,72,1.71630539591598,93,0.607643353446359,91
BA,0.00140754098360656,26,0.108086002357008,81,-0.00522,20,-0.10606,13,0.31171,85,-0.24443,21,0.786361537464918,84,0.447899413742827,79
BAC,0.0147972131147541,59,0.0902349013433115,62,0.01358,62,-0.03536,32,0.30489,84,-0.19391,46,0.939006719754553,87,0.344819874452647,68
BALL,-0.00687770491803279,8,0.0874014957612939,57,-0.01388,8,0.06106,89,0.21479,48,-0.23985,25,0.37500886774086,66,0.300150073833711,64
BAX,-0.0192265573770492,1,0.0907862347657993,64,-0.01828,4,-0.00866,47,0.17554,28,-0.28137,11,0.108200490034114,54,-0.160148416109719,16
BBY,-0.00305360655737705,19,0.0929346695808905,66,-0.01084,10,-0.06927,19,0.24689,65,-0.20558,38,-0.179593289708111,31,0.495943847687737,83
BDX,-0.00318098360655738,18,0.0565655359650768,9,-0.0054,19,0.03483,76,0.09203,1,-0.16659,57,-0.122494883155692,38,-0.402382504021952,6
BF.B,-0.0136680327868852,4,0.0626994507370857,16,-0.01525,7,0.0448,81,0.10599,2,-0.19286,47,-0.122689707158677,37,-0.32009705351269,10
BG,0.015113606557377,60,0.0865759493745768,55,-0.00021,29.5,-0.00021,50,0.21134,46,-0.23352,28,0.669977361624966,78,-0.090771101933825,28
BIIB,-0.00445836065573771,12,0.0936140498212444,68,-0.03236,1,0.13632,98,0.36657,90,-0.165,59,4.19739678052045,98,1.62147257883286,100
BK,0.0190152459016393,70,0.0741776386028062,34,0.02821,92,-0.0139,44,0.1873,34,-0.1625,62,-0.215249840258625,28,-0.270698726954399,11
BKNG,0.0192624590163934,73,0.0890368202235408,59,0.01976,80,-0.061,21,0.20782,44,-0.22044,34,-0.166727664649107,32,-0.0705364913117092,29
BKR,0.0257814754098361,92,0.111539259334043,85,0.01415,66,0.00971,61,0.3269,87,-0.19761,42,0.494913836640256,70,0.394461231050718,72
BLDR,0.0269550819672131,93,0.137254309860965,93,0.04313,99,-0.12525,9,0.26629,76,-0.25311,20,-0.976073740801181,1,-0.100791045003109,25
BLK,0.00422803278688525,30,0.0824689617132747,50,0.0121,58,-0.06288,20,0.22694,56,-0.18254,53,-0.0535301225165705,42,-0.00624600136460949,39
BMY,-0.0016655737704918,23,0.068061321676965,24,0.00239,39,0.00391,54,0.1626,25,-0.18975,49,0.833614091496523,86,-0.216096241216144,12
BR,0.00763311475409836,45,0.0635223097434013,18,0.00536,45,0.03625,78,0.13584,12,-0.15686,64,0.0403302010559785,50,-0.0401062712855361,34
BRK.B,0.0192350819672131,72,0.0592444893533835,12,0.02341,86,0.05549,84,0.13636,13,-0.13596,77,-0.599245025311904,11,-0.0969951077314456,27
BRO,0.016725737704918,64,0.0780249422184773,45,0.01361,64,0.00727,58,0.18861,35,-0.17588,55,-0.153401740070668,35,-0.154599057198211,17
BSX,0.0217608196721311,80,0.0561820340291296,7,0.01973,79,-0.03813,30,0.14599,16,-0.11732,88,-0.313074428439588,24,0.0736579423055021,46
BX,0.0179406557377049,68,0.111295310201716,84,0.02189,84,-0.02707,37,0.29344,81,-0.22549,32,-0.153396617801131,36,-0.0576251252213522,33
BXP,-0.00208180327868853,20,0.0893712619825895,61,-0.01641,5,-0.01615,42,0.23257,58,-0.27395,13,1.09671375782093,91,0.0314368671071375,41
CAH,0.0274677049180328,95,0.0755275365102786,36,0.01819,74,0.02555,67,0.21541,50,-0.11603,89,-0.512600967592367,15,0.491277754750356,81
CARR,0.00478032786885246,34,0.085334653472221,54,-0.00174,26,-0.11901,11,0.2154,49,-0.16569,58,-0.390314273815682,21,0.265440543664161,63
CAT,0.0247603278688525,89,0.105997278533731,77,0.01569,71,-0.04648,27,0.31923,86,-0.17198,56,0.0199589775401012,49,0.544328928966402,85
CBOE,0.0210934426229508,77,0.0461451337587994,1,0.01971,78,0.02833,68,0.11929,6,-0.09474,98,-0.0348890391730601,45,-0.0993164898183472,26
CBRE,0.024044262295082,87,0.0979596414594469,74,0.02156,83,0.0286,69,0.29731,82,-0.14852,71,0.292891797043428,64,0.548658958454914,86
CCL,0.0229160655737705,82,0.191155070534184,99,-0.00277,21,-0.07874,18,0.67676,99,-0.3768,4,1.37494259090661,92,0.845722327245235,97
CDNS,0.0179281967213115,67,0.0915427591257804,65,0.01563,70,-0.11252,12,0.24029,62,-0.18358,52,-0.292769327261376,25,0.05674143085985,43
CDW,0.00437131147540983,32,0.0892776862094781,60,0.00057,33,-0.12029,10,0.25892,72,-0.19524,43,0.154944220715385,57,0.310183089144434,65
CF,0.0203622950819672,76,0.111224836006374,83,0.01422,69,-0.05703,22,0.49644,95,-0.2125,35,4.41601567423388,99,1.20381960547917,99
CHRW,0.00844049180327869,51,0.0779194846283912,44,-0.00021,29.5,-0.015,43,0.21648,51,-0.15629,65,0.425888841776708,67,0.543093736921925,84
