Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
CI,0.01407541,0.094906427,0.02938,-0.19307,0.25256,-0.19307,0.201161817,-0.001028526
CINF,0.023059344,0.078142802,0.02888,-0.18188,0.22595,-0.18188,0.010545838,0.068874788
CL,0.000887049,0.049453652,0.00807,-0.10178,0.13756,-0.10178,-0.081073657,0.066728402
CLX,-0.011366557,0.0746596,-0.01452,-0.17175,0.21793,-0.17175,1.373614709,0.525709713
CMCSA,-0.005405902,0.07793911,-0.00676,-0.18956,0.18939,-0.18956,-0.268430093,0.084300103
CME,0.016433115,0.055635081,0.01847,0.01847,0.16129,-0.09447,0.027885833,0.440348672
CMG,0.008022951,0.097002147,0.00095,-0.23633,0.21034,-0.23633,0.109340458,0.058811735
CMI,0.01769918,0.080434957,0.01873,-0.13032,0.2313,-0.13032,0.110248124,0.431291696
CMS,0.003568361,0.052070885,0.00144,-0.1377,0.13803,-0.1377,0.258940257,0.146354873
CNC,-0.003253115,0.106724785,0.00145,-0.51971,0.22865,-0.51971,8.273963153,-1.629361528
CNP,0.009096066,0.053231616,0.01061,-0.10625,0.11237,-0.10625,-0.560889063,-0.15546421
COF,0.02359541,0.09829769,0.026,-0.19193,0.28012,-0.19193,-0.043003743,0.17190897
COIN,0.036556721,0.288300767,0,0,1.06802,-0.40881,1.946301011,1.138946503
COO,0.001269836,0.07554094,0.01729,-0.16395,0.15714,-0.16395,-0.615865949,-0.325222553
COP,0.027295574,0.113919101,0.00433,-0.20069,0.38225,-0.20069,1.495389953,0.942308025
COR,0.023190328,0.064390355,0.01978,-0.10682,0.16175,-0.10682,-0.541809178,0.240670805
COST,0.018189836,0.066693989,0.02795,-0.15345,0.14,-0.15345,-0.381863539,-0.32539558
CPAY,0.009155902,0.08533542,0.00844,-0.17108,0.20053,-0.17108,-0.374206212,-0.062184002
CPB,-0.005707705,0.050490891,0.00031,0.01927,0.12288,-0.09959,-0.481441692,-0.002545012
CPRT,0.010832131,0.087662924,-0.01039,-0.15648,0.23159,-0.15648,-0.215986192,0.467470824
CPT,0.005605082,0.067282266,0.01301,-0.1491,0.13047,-0.1491,-0.815210606,-0.192002063
CRL,-0.003997377,0.131915344,-0.02174,0,0.36667,-0.275,0.513372129,0.562911282
CRM,0.001089508,0.100259496,-0.00706,-0.21463,0.26684,-0.21463,0.151620805,0.303825114
CRWD,0.039254754,0.152514451,0.0561,-0.39466,0.38192,-0.39466,0.306146421,-0.160721231
CSCO,0.014937541,0.067062322,0.01484,-0.12159,0.19833,-0.12159,0.351542183,0.252151983
CSGP,-0.004601639,0.084128804,-0.02267,-0.18443,0.20162,-0.18443,0.137508658,0.572298895
CSX,0.008382951,0.075645498,0.0065,-0.15829,0.21621,-0.15829,-0.196276719,0.241547329
CTAS,0.01697918,0.065888915,0.01955,-0.19084,0.13911,-0.19084,0.670817585,-0.423881733
CTRA,0.012150164,0.1004148,-0.0024,-0.24876,0.36941,-0.24876,2.248301108,0.756026854
CTSH,0.001848689,0.066717006,0.00683,-0.10995,0.16716,-0.10995,-0.690871029,0.25827429
CTVA,0.0197,0.085429407,0.02167,-0.13542,0.26803,-0.13542,0.214363163,0.522519151
CVS,0.010035246,0.093897862,-0.00154,-0.24996,0.25819,-0.24996,0.784603798,0.243427918
CVX,0.021153115,0.092694582,0.01052,-0.18668,0.25914,-0.18668,0.933474666,0.554261383
D,-0.004906885,0.061545847,0.01767,-0.15513,0.1245,-0.15513,-0.255139734,-0.522192941
DAL,0.022142131,0.130407626,0.0111,-0.35187,0.31364,-0.35187,0.797368858,0.012826939
DASH,0.01489,0.148103345,0.01517,0,0.35391,-0.32152,-0.007645358,0.037883641
DAY,-0.001450328,0.103700977,0.0016,-0.27417,0.20981,-0.27417,-0.150077042,-0.101696753
DD,0.012476393,0.087181259,0.00721,-0.19667,0.24061,-0.19667,0.384742265,0.175848851
DDOG,0.016091311,0.134963374,0.02286,-0.30481,0.43083,-0.30481,1.554870432,0.525531798
